vendor,area,cluster,bsc,bsc_name,bts_index,site_name,site_id,sector,cell_name,cell_id,cell_index,active_state,admin_state,frequency_band,bcch,ncc,bcc,lac,rac,mcc,mnc,lat,long,azimuth,etilt,mtilt,height,structure,last_update,date
Huawei,South Amman,6,BSC_AA_01,BSC_AA_01,0,601-North_Jordan_Cement_Factory_PF_O,601,601_A,601-North_Jordan_Cement_Factory_PF_O-A,6011,0,ACTIVATED,UNLOCK,GSM900,66,3,3,1001,6,416,1,31.752171,36.19081,80,40,0,31,Mast 6m ,-,
Huawei,South Amman,6,BSC_AA_01,BSC_AA_01,0,601-North_Jordan_Cement_Factory_PF_O,601,601_C,601-North_Jordan_Cement_Factory_PF_O-C,6013,1,ACTIVATED,LOCK,GSM900,68,5,6,1001,6,416,1,31.752171,36.19081,270,40,0,31,Mast 6m ,-,
Huawei,South Amman,6,BSC_AA_01,BSC_AA_01,1,602-Muwaqqar_Harraneh_Rd_PE_TASC,602,602_A,602-Muwaqqar_Harraneh_Rd_PE_TASC-A,6021,2,ACTIVATED,UNLOCK,GSM900,64,5,2,1001,6,416,1,31.774306,36.2605,120,RET,0,60,Tower 60m,Site Audit,07/03/2024
Huawei,South Amman,6,BSC_AA_01,BSC_AA_01,1,602-Muwaqqar_Harraneh_Rd_PE_TASC,602,602_B,602-Muwaqqar_Harraneh_Rd_PE_TASC-B,6022,3,ACTIVATED,UNLOCK,GSM900,73,0,1,1001,6,416,1,31.774306,36.2605,300,RET,0,60,Tower 60m,Site Audit,07/03/2024
Huawei,South Amman,6,BSC_AA_01,BSC_AA_01,1,602-Muwaqqar_Harraneh_Rd_PE_TASC,602,602_D,602-Muwaqqar_Harraneh_Rd_PE_TASC-D,6024,37,DEACTIVATED,UNLOCK,GSM900,67,1,7,1001,6,416,1,31.774306,36.2605,310,RET,0,51,Tower 60m,Operation Date,01/08/2023
Huawei,South Amman,6,BSC_AA_01,BSC_AA_01,2,603-Mustanada_PD_O,603,603_B,603-Mustanada_PD_O-B,6032,4,DEACTIVATED,UNLOCK,GSM900,66,4,7,1001,6,416,1,31.905361,36.000972,200,40,0,18,Mast 6m ,-,
Huawei,South Amman,6,BSC_AA_01,BSC_AA_01,2,603-Mustanada_PD_O,603,603_A,603-Mustanada_PD_O-A,6031,274,ACTIVATED,UNLOCK,GSM900,73,0,7,1001,6,416,1,31.905361,36.000972,20,60,1,18,Mast 6m ,-,
Huawei,South Amman,6,BSC_AA_01,BSC_AA_01,2,603-Mustanada_PD_O,603,603_C,603-Mustanada_PD_O-C,6033,341,ACTIVATED,UNLOCK,GSM900,64,1,0,1001,6,416,1,31.905361,36.000972,290,80,2,13,Mast 6m ,-,
Huawei,South Amman,6,BSC_AA_01,BSC_AA_01,3,605-Sahab_QIZ_PC_Fiber_TASC,605,605_A,605-Sahab_QIZ_PC_Fiber_TASC-A,6051,5,ACTIVATED,UNLOCK,GSM900,69,1,5,1001,6,416,1,31.871167,35.9815,110,7,0,27,Tower 12m,Site Audit,06/05/2025
Huawei,South Amman,6,BSC_AA_01,BSC_AA_01,3,605-Sahab_QIZ_PC_Fiber_TASC,605,605_B,605-Sahab_QIZ_PC_Fiber_TASC-B,6052,6,ACTIVATED,UNLOCK,GSM900,74,1,5,1001,6,416,1,31.871167,35.9815,200,5,0,30,Tower 12m,Site Audit,06/05/2025
