vendor,area,cluster,rnc,rnc_name,nodeb_name,nodeb_id,sector,cell_name,cell_id,active_state,dl_uarfcn,psc,lac,rac,sac,max_pwr,cpich_pwr,mcc,mnc,dch_users,lat,long,azimuth,etilt,mtilt,height,structure,last_update,date
Huawei,South Jordan,8,2000,RNC01,801-UL_Karak_PB_Fiber_TASC,801,801_A,801-UL_Karak_PB_Fiber_TASC_A1,8011,ACTIVATED,10562,57,333,243,8011,448,330,416,1,17.77421429,31.196167,35.710697,120,RET,4,60,Tower 60m,Site Audit,12/03/2023
Huawei,South Jordan,8,2000,RNC01,801-UL_Karak_PB_Fiber_TASC,801,801_B,801-UL_Karak_PB_Fiber_TASC_B1,8012,ACTIVATED,10562,442,333,243,8012,448,330,416,1,52.11308571,31.196167,35.710697,200,RET,2,60,Tower 60m,Site Audit,12/03/2023
Huawei,South Jordan,8,2000,RNC01,801-UL_Karak_PB_Fiber_TASC,801,801_C,801-UL_Karak_PB_Fiber_TASC_C1,8013,ACTIVATED,10562,444,333,243,8013,448,330,416,1,29.49722857,31.196167,35.710697,280,RET,0,60,Tower 60m,Site Audit,12/03/2023
Huawei,South Jordan,8,2000,RNC01,801-UL_Karak_PB_Fiber_TASC,801,801_A,801-UL_Karak_PB_Fiber_TASC_A2,8014,DEACTIVATED,10762,57,333,243,8014,448,330,416,1,,31.196167,35.710697,120,RET,4,60,Tower 60m,Site Audit,12/03/2023
Huawei,South Jordan,8,2000,RNC01,801-UL_Karak_PB_Fiber_TASC,801,801_B,801-UL_Karak_PB_Fiber_TASC_B2,8015,DEACTIVATED,10762,442,333,243,8015,448,330,416,1,,31.196167,35.710697,200,RET,2,60,Tower 60m,Site Audit,12/03/2023
Huawei,South Jordan,8,2000,RNC01,801-UL_Karak_PB_Fiber_TASC,801,801_C,801-UL_Karak_PB_Fiber_TASC_C2,8016,DEACTIVATED,10762,444,333,243,8016,448,330,416,1,,31.196167,35.710697,280,RET,0,60,Tower 60m,Site Audit,12/03/2023
Huawei,South Jordan,8,2000,RNC01,802-UL_Jada_PA_Fiber_TASC,802,802_A,802-UL_Jada_PA_Fiber_TASC_A1,8021,ACTIVATED,10562,478,333,243,8021,448,360,416,1,44.31807143,31.3815561,35.7511237,40,RET,4,45,4Port,Site Audit,11/05/2025
Huawei,South Jordan,8,2000,RNC01,802-UL_Jada_PA_Fiber_TASC,802,802_B,802-UL_Jada_PA_Fiber_TASC_B1,8022,ACTIVATED,10562,275,333,243,8022,448,360,416,1,26.54801429,31.3815561,35.7511237,110,RET,3,25,Agisson,Site Audit,11/05/2025
Huawei,South Jordan,8,2000,RNC01,802-UL_Jada_PA_Fiber_TASC,802,802_C,802-UL_Jada_PA_Fiber_TASC_C1,8023,ACTIVATED,10562,479,333,243,8023,448,330,416,1,16.27917143,31.3815561,35.7511237,210,RET,2,25,10Port,Site Audit,11/05/2025
Huawei,South Jordan,8,2000,RNC01,802-UL_Jada_PA_Fiber_TASC,802,802_A,802-UL_Jada_PA_Fiber_TASC_A2,8024,DEACTIVATED,10762,478,333,243,8024,448,360,416,1,,31.3815561,35.7511237,40,RET,4,45,4Port,Site Audit,11/05/2025
Huawei,South Jordan,8,2000,RNC01,802-UL_Jada_PA_Fiber_TASC,802,802_B,802-UL_Jada_PA_Fiber_TASC_B2,8025,DEACTIVATED,10762,275,333,243,8025,448,360,416,1,,31.3815561,35.7511237,110,RET,3,25,Agisson,Site Audit,11/05/2025
Huawei,South Jordan,8,2000,RNC01,802-UL_Jada_PA_Fiber_TASC,802,802_C,802-UL_Jada_PA_Fiber_TASC_C2,8026,DEACTIVATED,10762,479,333,243,8026,448,330,416,1,,31.3815561,35.7511237,210,RET,2,25,10Port,Site Audit,11/05/2025
Huawei,South Jordan,8,2000,RNC01,803-ULT_Abu_Hammour_PD_Fiber_TASC,803,803_A,803-ULT_Abu_Hammour_PD_Fiber_TASC_A1,8031,ACTIVATED,10562,76,333,243,8031,448,330,416,1,21.83117143,31.1768,35.73547,60,RET,-2,18,Tower 12m,Site Audit,16/12/2021
Huawei,South Jordan,8,2000,RNC01,803-ULT_Abu_Hammour_PD_Fiber_TASC,803,803_B,803-ULT_Abu_Hammour_PD_Fiber_TASC_B1,8032,ACTIVATED,10562,77,333,243,8032,448,360,416,1,32.28194286,31.1768,35.73547,160,RET,-4,16,Tower 12m,Site Audit,16/12/2021
Huawei,South Jordan,8,2000,RNC01,803-ULT_Abu_Hammour_PD_Fiber_TASC,803,803_C,803-ULT_Abu_Hammour_PD_Fiber_TASC_C1,8033,ACTIVATED,10562,75,333,243,8033,448,330,416,1,53.75972857,31.1768,35.73547,310,RET,-5,20,Tower 12m,Site Audit,16/12/2021
Huawei,South Jordan,8,2000,RNC01,803-ULT_Abu_Hammour_PD_Fiber_TASC,803,803_A,803-ULT_Abu_Hammour_PD_Fiber_TASC_A2,8034,DEACTIVATED,10762,76,333,243,8034,448,330,416,1,,31.1768,35.73547,60,RET,-2,18,Tower 12m,Site Audit,16/12/2021
Huawei,South Jordan,8,2000,RNC01,803-ULT_Abu_Hammour_PD_Fiber_TASC,803,803_B,803-ULT_Abu_Hammour_PD_Fiber_TASC_B2,8035,DEACTIVATED,10762,77,333,243,8035,448,360,416,1,,31.1768,35.73547,160,RET,-4,16,Tower 12m,Site Audit,16/12/2021
Huawei,South Jordan,8,2000,RNC01,803-ULT_Abu_Hammour_PD_Fiber_TASC,803,803_C,803-ULT_Abu_Hammour_PD_Fiber_TASC_C2,8036,DEACTIVATED,10762,75,333,243,8036,448,330,416,1,,31.1768,35.73547,310,RET,-5,20,Tower 12m,Site Audit,16/12/2021
