vendor,area,cluster,enb_name,enb_id_actual,enb_id_config,sector,cell_name,cell_id,active_state,admin_state,tac,pci,rsi,cell_radius,dl_bw,dl_earfcn,duplix_mode,pwr_config,mcc,mnc,ip_address,throughput,prb,band,cell_unique,capacity,lat,long,azimuth,etilt,mtilt,height,structure,last_update,date
Huawei,Zarqa,10,1003-ULT_Jabal_Tareq_Police_Station_PB_Fiber_TASC,1003,1003,1003_A,1003-ULT_Jabal_Tareq_Police_Station_PB_Fiber_TASC_A2,31,CELL_ACTIVE,CELL_UNBLOCK,901,78,60,10000,CELL_BW_N50,3749,CELL_FDD,122/DB3_P_A/0,416,1,10.91.25.2,4.267128571,90.66907143,L9,1003_31,-,32.045709,36.097222,35,30,0,24,Pole,-,
Huawei,Zarqa,10,1003-ULT_Jabal_Tareq_Police_Station_PB_Fiber_TASC,1003,1003,1003_B,1003-ULT_Jabal_Tareq_Police_Station_PB_Fiber_TASC_B2,32,CELL_ACTIVE,CELL_UNBLOCK,901,79,70,10000,CELL_BW_N50,3749,CELL_FDD,122/DB3_P_A/0,416,1,10.91.25.2,4.847471429,92.5937,L9,1003_32,-,32.045709,36.097222,125,20,0,21,Pole,-,
Huawei,Zarqa,10,1003-ULT_Jabal_Tareq_Police_Station_PB_Fiber_TASC,1003,1003,1003_C,1003-ULT_Jabal_Tareq_Police_Station_PB_Fiber_TASC_C2,33,CELL_ACTIVE,CELL_UNBLOCK,901,80,80,10000,CELL_BW_N50,3749,CELL_FDD,122/DB3_P_A/0,416,1,10.91.25.2,12.85842857,84.65204286,L9,1003_33,-,32.045709,36.097222,340,40,0,21,Pole,-,
Huawei,Zarqa,10,1003-ULT_Jabal_Tareq_Police_Station_PB_Fiber_TASC,1003,1003,1003_A,1003-ULT_Jabal_Tareq_Police_Station_PB_Fiber_TASC_A1_Left,51,CELL_ACTIVE,CELL_UNBLOCK,901,426,27,10000,CELL_BW_N100,1850,CELL_FDD,139/DB0_P_A/1,416,1,10.91.25.2,12.08518571,79.0421,L18,1003_51,Yes,32.045709,36.097222,35,30,0,24,Pole,-,
Huawei,Zarqa,10,1003-ULT_Jabal_Tareq_Police_Station_PB_Fiber_TASC,1003,1003,1003_B,1003-ULT_Jabal_Tareq_Police_Station_PB_Fiber_TASC_B1_Left,52,CELL_ACTIVE,CELL_UNBLOCK,901,427,720,10000,CELL_BW_N100,1850,CELL_FDD,139/DB0_P_A/1,416,1,10.91.25.2,13.28574286,65.73585714,L18,1003_52,Yes,32.045709,36.097222,125,20,0,21,Pole,-,
Huawei,Zarqa,10,1003-ULT_Jabal_Tareq_Police_Station_PB_Fiber_TASC,1003,1003,1003_C,1003-ULT_Jabal_Tareq_Police_Station_PB_Fiber_TASC_C1_Left,53,CELL_ACTIVE,CELL_UNBLOCK,901,428,610,10000,CELL_BW_N100,1850,CELL_FDD,139/DB0_P_A/1,416,1,10.91.25.2,10.03332857,84.3309,L18,1003_53,Yes,32.045709,36.097222,340,40,0,21,Pole,-,
Huawei,Zarqa,10,1003-ULT_Jabal_Tareq_Police_Station_PB_Fiber_TASC,1003,1003,1003_A,1003-ULT_Jabal_Tareq_Police_Station_PB_Fiber_TASC_A1_Right,61,CELL_ACTIVE,CELL_UNBLOCK,901,500,589,10000,CELL_BW_N100,1850,CELL_FDD,139/DB0_P_A/1,416,1,10.91.25.2,10.21617143,86.02715714,L18,1003_61,Yes,32.045709,36.097222,35,30,0,24,Pole,-,
Huawei,Zarqa,10,1003-ULT_Jabal_Tareq_Police_Station_PB_Fiber_TASC,1003,1003,1003_B,1003-ULT_Jabal_Tareq_Police_Station_PB_Fiber_TASC_B1_Right,62,CELL_ACTIVE,CELL_UNBLOCK,901,498,204,10000,CELL_BW_N100,1850,CELL_FDD,139/DB0_P_A/1,416,1,10.91.25.2,8.2507,87.45964286,L18,1003_62,Yes,32.045709,36.097222,125,20,0,21,Pole,-,
Huawei,Zarqa,10,1003-ULT_Jabal_Tareq_Police_Station_PB_Fiber_TASC,1003,1003,1003_C,1003-ULT_Jabal_Tareq_Police_Station_PB_Fiber_TASC_C1_Right,63,CELL_ACTIVE,CELL_UNBLOCK,901,499,392,10000,CELL_BW_N100,1850,CELL_FDD,139/DB0_P_A/1,416,1,10.91.25.2,10.8449,66.8369,L18,1003_63,Yes,32.045709,36.097222,340,40,0,21,Pole,-,
Huawei,Zarqa,10,1003-ULT_Jabal_Tareq_Police_Station_PB_Fiber_TASC,1003,1003,1003_A,1003-ULT_Jabal_Tareq_Police_Station_PB_Fiber_TASC_A3,71,CELL_ACTIVE,CELL_UNBLOCK,901,426,27,4000,CELL_BW_N100,350,CELL_FDD,152/DB_3_P_A/0,416,1,10.91.25.2,14.10854286,92.1421,L21,1003_71,-,32.045709,36.097222,35,30,0,24,Pole,-,
Huawei,Zarqa,10,1003-ULT_Jabal_Tareq_Police_Station_PB_Fiber_TASC,1003,1003,1003_B,1003-ULT_Jabal_Tareq_Police_Station_PB_Fiber_TASC_B3,72,CELL_ACTIVE,CELL_UNBLOCK,901,427,720,4000,CELL_BW_N100,350,CELL_FDD,152/DB_3_P_A/0,416,1,10.91.25.2,13.05881429,91.15821429,L21,1003_72,-,32.045709,36.097222,125,20,0,21,Pole,-,
