vendor,area,cluster,enb_name,enb_id_actual,enb_id_config,sector,cell_name,cell_id,active_state,admin_state,tac,pci,rsi,cell_radius,dl_bw,dl_earfcn,duplix_mode,pwr_config,mcc,mnc,ip_address,throughput,prb,band,cell_unique,capacity,lat,long,azimuth,etilt,mtilt,height,structure,last_update,date
Huawei,Zarqa,10,1003-ULT_Jabal_Tareq_Police_Station_PB_Fiber_TASC,1003,1003,1003_A,1003-ULT_Jabal_Tareq_Police_Station_PB_Fiber_TASC_A11,21,CELL_ACTIVE,CELL_UNBLOCK,152,202,396,10000,CELL_BW_N75,41665,CELL_TDD,114/DB_3_P_A/1,416,1,10.91.25.2,13.63657143,28.8908,L35,1003_21,-,32.045709,36.097222,35,30,0,24,Pole,-,
Huawei,Zarqa,10,1003-ULT_Jabal_Tareq_Police_Station_PB_Fiber_TASC,1003,1003,1003_B,1003-ULT_Jabal_Tareq_Police_Station_PB_Fiber_TASC_B12,22,CELL_ACTIVE,CELL_UNBLOCK,152,203,631,10000,CELL_BW_N75,41665,CELL_TDD,114/DB_3_P_A/1,416,1,10.91.25.2,18.68764286,41.0565,L35,1003_22,-,32.045709,36.097222,125,20,0,21,Pole,-,
Huawei,Zarqa,10,1003-ULT_Jabal_Tareq_Police_Station_PB_Fiber_TASC,1003,1003,1003_C,1003-ULT_Jabal_Tareq_Police_Station_PB_Fiber_TASC_C13,23,CELL_ACTIVE,CELL_UNBLOCK,152,201,449,10000,CELL_BW_N75,41665,CELL_TDD,114/DB_3_P_A/1,416,1,10.91.25.2,,1.084442857,L35,1003_23,-,32.045709,36.097222,340,40,0,21,Pole,-,
Huawei,Zarqa,10,1003-ULT_Jabal_Tareq_Police_Station_PB_Fiber_TASC,1003,1003,1003_A,1003-ULT_Jabal_Tareq_Police_Station_PB_Fiber_TASC_A21,24,CELL_ACTIVE,CELL_UNBLOCK,152,202,396,10000,CELL_BW_N75,41815,CELL_TDD,114/DB_3_P_A/1,416,1,10.91.25.2,18.54701429,23.75798571,L35,1003_24,-,32.045709,36.097222,35,30,0,24,Pole,-,
Huawei,Zarqa,10,1003-ULT_Jabal_Tareq_Police_Station_PB_Fiber_TASC,1003,1003,1003_B,1003-ULT_Jabal_Tareq_Police_Station_PB_Fiber_TASC_B22,25,CELL_ACTIVE,CELL_UNBLOCK,152,203,631,10000,CELL_BW_N75,41815,CELL_TDD,114/DB_3_P_A/1,416,1,10.91.25.2,20.16244286,39.14321429,L35,1003_25,-,32.045709,36.097222,125,20,0,21,Pole,-,
Huawei,Zarqa,10,1003-ULT_Jabal_Tareq_Police_Station_PB_Fiber_TASC,1003,1003,1003_C,1003-ULT_Jabal_Tareq_Police_Station_PB_Fiber_TASC_C23,26,CELL_ACTIVE,CELL_UNBLOCK,152,201,449,10000,CELL_BW_N75,41815,CELL_TDD,114/DB_3_P_A/1,416,1,10.91.25.2,11.1439,1.085471429,L35,1003_26,-,32.045709,36.097222,340,40,0,21,Pole,-,
Huawei,Zarqa,10,1006-ULT_Zawahrah_End_PD_Fiber_TASC,1006,1006,1006_A,1006-ULT_Zawahrah_End_PD_Fiber_TASC_A11,21,CELL_ACTIVE,CELL_UNBLOCK,152,189,313,6000,CELL_BW_N75,41665,CELL_TDD,114/DB_3_P_A/1,416,1,10.82.188.2,7.974628571,35.7193,L35,1006_21,-,32.056477,36.070965,60,50,0,14,Mast 6m ,-,
Huawei,Zarqa,10,1006-ULT_Zawahrah_End_PD_Fiber_TASC,1006,1006,1006_B,1006-ULT_Zawahrah_End_PD_Fiber_TASC_B12,22,CELL_ACTIVE,CELL_UNBLOCK,152,191,318,6000,CELL_BW_N75,41665,CELL_TDD,114/DB_3_P_A/1,416,1,10.82.188.2,18.41734286,25.89387143,L35,1006_22,-,32.056477,36.070965,160,80,0,18,Mast 6m ,-,
Huawei,Zarqa,10,1006-ULT_Zawahrah_End_PD_Fiber_TASC,1006,1006,1006_C,1006-ULT_Zawahrah_End_PD_Fiber_TASC_C13,23,CELL_ACTIVE,CELL_UNBLOCK,152,190,323,6000,CELL_BW_N75,41665,CELL_TDD,114/DB_3_P_A/1,416,1,10.82.188.2,18.33378571,38.54687143,L35,1006_23,-,32.056477,36.070965,230,90,0,18,Mast 6m ,-,
Huawei,Zarqa,10,1006-ULT_Zawahrah_End_PD_Fiber_TASC,1006,1006,1006_A,1006-ULT_Zawahrah_End_PD_Fiber_TASC_A21,24,CELL_ACTIVE,CELL_UNBLOCK,152,189,313,6000,CELL_BW_N75,41815,CELL_TDD,114/DB_3_P_A/1,416,1,10.82.188.2,15.59242857,22.40834286,L35,1006_24,-,32.056477,36.070965,60,50,0,14,Mast 6m ,-,
Huawei,Zarqa,10,1006-ULT_Zawahrah_End_PD_Fiber_TASC,1006,1006,1006_B,1006-ULT_Zawahrah_End_PD_Fiber_TASC_B22,25,CELL_ACTIVE,CELL_UNBLOCK,152,191,318,6000,CELL_BW_N75,41815,CELL_TDD,114/DB_3_P_A/1,416,1,10.82.188.2,19.38167143,19.30345714,L35,1006_25,-,32.056477,36.070965,160,80,0,18,Mast 6m ,-,
Huawei,Zarqa,10,1006-ULT_Zawahrah_End_PD_Fiber_TASC,1006,1006,1006_C,1006-ULT_Zawahrah_End_PD_Fiber_TASC_C23,26,CELL_ACTIVE,CELL_UNBLOCK,152,190,323,6000,CELL_BW_N75,41815,CELL_TDD,114/DB_3_P_A/1,416,1,10.82.188.2,14.10837143,43.54872857,L35,1006_26,-,32.056477,36.070965,230,90,0,18,Mast 6m ,-,
Huawei,Zarqa,10,1031-ULT_Jabal_Rahmeh_PC_EBand_TASC,1031,1031,1031_A,1031-ULT_Jabal_Rahmeh_PC_EBand_TASC_A11,21,CELL_ACTIVE,CELL_UNBLOCK,152,137,429,6000,CELL_BW_N75,41665,CELL_TDD,114/DB_3_P_A/1,416,1,10.82.50.2,15.39597143,17.2913,L35,1031_21,-,32.04121,36.080457,10,60,0,20,Tower 16m,-,
Huawei,Zarqa,10,1031-ULT_Jabal_Rahmeh_PC_EBand_TASC,1031,1031,1031_B,1031-ULT_Jabal_Rahmeh_PC_EBand_TASC_B12,22,CELL_ACTIVE,CELL_UNBLOCK,152,135,434,6000,CELL_BW_N75,41665,CELL_TDD,114/DB_3_P_A/1,416,1,10.82.50.2,30.71992857,14.82222857,L35,1031_22,-,32.04121,36.080457,110,50,0,16,Tower 16m,-,
Huawei,Zarqa,10,1031-ULT_Jabal_Rahmeh_PC_EBand_TASC,1031,1031,1031_C,1031-ULT_Jabal_Rahmeh_PC_EBand_TASC_C13,23,CELL_ACTIVE,CELL_UNBLOCK,152,136,464,6000,CELL_BW_N75,41665,CELL_TDD,114/DB_3_P_A/1,416,1,10.82.50.2,2.7472,1.194571429,L35,1031_23,-,32.04121,36.080457,255,60,0,24,Tower 16m,-,
Huawei,Zarqa,10,1031-ULT_Jabal_Rahmeh_PC_EBand_TASC,1031,1031,1031_A,1031-ULT_Jabal_Rahmeh_PC_EBand_TASC_A21,24,CELL_ACTIVE,CELL_UNBLOCK,152,137,429,6000,CELL_BW_N75,41815,CELL_TDD,114/DB_3_P_A/1,416,1,10.82.50.2,16.18194286,22.92182857,L35,1031_24,-,32.04121,36.080457,10,60,0,20,Tower 16m,-,
Huawei,Zarqa,10,1031-ULT_Jabal_Rahmeh_PC_EBand_TASC,1031,1031,1031_B,1031-ULT_Jabal_Rahmeh_PC_EBand_TASC_B22,25,CELL_ACTIVE,CELL_UNBLOCK,152,135,434,6000,CELL_BW_N75,41815,CELL_TDD,114/DB_3_P_A/1,416,1,10.82.50.2,27.99351429,17.30787143,L35,1031_25,-,32.04121,36.080457,110,50,0,16,Tower 16m,-,
