vendor,area,cluster,gnb_name,gnb_id_actual,gnb_id_config,sector,cell_name,cell_id,active_state,admin_state,tac,pci,rsi,bw,nrarfcn,duplix_mode,ip_address,lat,long,azimuth,etilt,mtilt,height,structure,last_update,date,cluster_y
Nokia,West Amman,16,1606-ULN-Girls-Dorm-PA-Fiber-TASC,1606,1606,1606_A,1606-ULN-Girls-Dorm-PA-Fiber-TASC-A1,101,Unlocked,Unblocked,101,629,84,100MHz,650000,TDD,10.127.38.114,32.007694,35.884667,50,70,0,31,Wall Mount,-,,
Nokia,West Amman,16,1606-ULN-Girls-Dorm-PA-Fiber-TASC,1606,1606,1606_B,1606-ULN-Girls-Dorm-PA-Fiber-TASC-B1,102,Unlocked,Unblocked,101,627,78,100MHz,650000,TDD,10.127.38.114,32.007694,35.884667,140,70,0,32,Wall Mount,-,,
Nokia,West Amman,16,1606-ULN-Girls-Dorm-PA-Fiber-TASC,1606,1606,1606_C,1606-ULN-Girls-Dorm-PA-Fiber-TASC-C1,103,Unlocked,Unblocked,101,628,81,100MHz,650000,TDD,10.127.38.114,32.007694,35.884667,330,70,0,31,Wall Mount,-,,
Nokia,West Amman,16,1605-ULN-Nivin-Rising-2-PD-O,1605,1605,1605_B,1605-ULN-Nivin-Rising-2-PD-O-B1,102,Unlocked,Unblocked,103,58,36,100MHz,650000,TDD,10.127.39.106,32.016893,35.862224,160,0,0,22,Mast 9m,-,,
Nokia,West Amman,16,1605-ULN-Nivin-Rising-2-PD-O,1605,1605,1605_C,1605-ULN-Nivin-Rising-2-PD-O-C1,103,Unlocked,Unblocked,103,57,30,100MHz,650000,TDD,10.127.39.106,32.016893,35.862224,240,0,0,23,Mast 9m,-,,
Nokia,West Amman,16,1605-ULN-Nivin-Rising-2-PD-O,1605,1605,1605_D,1605-ULN-Nivin-Rising-2-PD-O-D1,107,Unlocked,Unblocked,103,59,33,100MHz,650000,TDD,10.127.39.106,32.016893,35.862224,290,0,0,24,Mast 9m,-,,
Nokia,South Jordan,12,1297-ULN-Aqaba-Alamieh-Market-PF-Fiber-TASC-O,1297,1297,1297_A,1297-ULN-Aqaba-Alamieh-Market-PF-Fiber-TASC-O-A1,101,Unlocked,Unblocked,501,224,96,100MHz,650000,TDD,10.127.72.10,29.542842,35.009614,15,50,1,12,Pole,-,,
Nokia,South Jordan,12,1297-ULN-Aqaba-Alamieh-Market-PF-Fiber-TASC-O,1297,1297,1297_B,1297-ULN-Aqaba-Alamieh-Market-PF-Fiber-TASC-O-B1,102,Unlocked,Unblocked,501,223,93,100MHz,650000,TDD,10.127.72.10,29.542842,35.009614,100,80,2,12,Pole,-,,
Nokia,South Jordan,12,1297-ULN-Aqaba-Alamieh-Market-PF-Fiber-TASC-O,1297,1297,1297_C,1297-ULN-Aqaba-Alamieh-Market-PF-Fiber-TASC-O-C1,103,Unlocked,Unblocked,501,222,90,100MHz,650000,TDD,10.127.72.10,29.542842,35.009614,225,50,3,12,Pole,-,,
Nokia,West Amman,16,1602-ULN-Rasheed-Back-2-O,1602,1602,1602_A,1602-ULN-Rasheed-Back-2-O-A1,101,Unlocked,Unblocked,101,26,516,100MHz,650000,TDD,10.127.110.186,32.005907,35.889283,50,70,0,24,Tower 12m,Operation Date,20/11/2023,
Nokia,West Amman,16,1602-ULN-Rasheed-Back-2-O,1602,1602,1602_B,1602-ULN-Rasheed-Back-2-O-B1,102,Unlocked,Unblocked,101,24,513,100MHz,650000,TDD,10.127.110.186,32.005907,35.889283,145,70,0,24,Tower 12m,Operation Date,20/11/2023,
Nokia,West Amman,16,1602-ULN-Rasheed-Back-2-O,1602,1602,1602_D,1602-ULN-Rasheed-Back-2-O-D1,107,Unlocked,Unblocked,101,25,510,100MHz,650000,TDD,10.127.110.186,32.005907,35.889283,290,70,0,24,Tower 12m,Operation Date,20/11/2023,
Nokia,South Jordan,12,1213-ULN-Shamieh-Aqaba-PE-TASC-O,1213,1213,1213_B,1213-ULN-Shamieh-Aqaba-PE-TASC-O-B1,102,Unlocked,Unblocked,5011,338,531,100MHz,650000,TDD,10.127.70.242,29.59246,35.06664,140,20,2,20,Pole,-,,
Nokia,South Jordan,12,1213-ULN-Shamieh-Aqaba-PE-TASC-O,1213,1213,1213_C,1213-ULN-Shamieh-Aqaba-PE-TASC-O-C1,103,Unlocked,Unblocked,5011,336,528,100MHz,650000,TDD,10.127.70.242,29.59246,35.06664,240,100,3,20,Pole,-,,
Nokia,South Jordan,12,1213-ULN-Shamieh-Aqaba-PE-TASC-O,1213,1213,1213_D,1213-ULN-Shamieh-Aqaba-PE-TASC-O-D1,107,Unlocked,Unblocked,5011,337,534,100MHz,650000,TDD,10.127.70.242,29.59246,35.06664,340,20,0,9,pole ,-,,
Nokia,West Amman,16,1601-ULN-RSS-2-PE-Fiber-TASC,1601,1601,1601_A,1601-ULN-RSS-2-PE-Fiber-TASC-A1,101,Unlocked,Unblocked,101,632,609,100MHz,650000,TDD,10.127.38.82,32.022083,35.880889,60,70,0,15,Mast 9m,-,,
Nokia,West Amman,16,1601-ULN-RSS-2-PE-Fiber-TASC,1601,1601,1601_B,1601-ULN-RSS-2-PE-Fiber-TASC-B1,102,Unlocked,Unblocked,101,631,603,100MHz,650000,TDD,10.127.38.82,32.022083,35.880889,170,70,0,15,Mast 9m,-,,
